epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,689.645,0.65363,0.47251,1.07285,0.9026,0.88714,0.91679,0.66147,1.00279,0.59332,1.18779,0.0001445,0.0001445,0.0001445
136,694.724,0.67731,0.50417,1.08296,0.89979,0.89007,0.91809,0.66483,0.99129,0.58845,1.18441,0.00013625,0.00013625,0.00013625
137,699.868,0.66668,0.47766,1.07756,0.89589,0.89371,0.9184,0.6627,1.00719,0.59396,1.19525,0.000128,0.000128,0.000128
138,704.916,0.64763,0.49422,1.08202,0.87553,0.90286,0.91558,0.66415,1.00614,0.59247,1.18575,0.00011975,0.00011975,0.00011975
139,710.009,0.65854,0.47825,1.07106,0.8802,0.89619,0.91172,0.66199,1.00167,0.59089,1.18804,0.0001115,0.0001115,0.0001115
140,715.073,0.6383,0.47561,1.07174,0.89012,0.89185,0.91452,0.66136,0.99957,0.59526,1.1941,0.00010325,0.00010325,0.00010325
141,735.597,0.71255,0.54045,1.05342,0.88162,0.89246,0.91623,0.66202,0.99908,0.59224,1.1958,9.5e-05,9.5e-05,9.5e-05
142,740.608,0.66367,0.47134,1.02766,0.89023,0.8816,0.91774,0.66378,0.98982,0.58973,1.19762,8.675e-05,8.675e-05,8.675e-05
143,745.681,0.66177,0.45191,1.0333,0.8962,0.88341,0.91604,0.66252,0.98081,0.58056,1.20106,7.85e-05,7.85e-05,7.85e-05
144,750.742,0.64435,0.4341,1.01663,0.90547,0.87589,0.91989,0.66381,0.98306,0.58078,1.1942,7.025e-05,7.025e-05,7.025e-05
145,755.746,0.66135,0.44203,1.03345,0.90787,0.87755,0.92145,0.66581,0.98476,0.58254,1.19146,6.2e-05,6.2e-05,6.2e-05
146,760.838,0.65136,0.44498,1.02021,0.93186,0.87395,0.92349,0.67022,0.98528,0.5794,1.19251,5.375e-05,5.375e-05,5.375e-05
147,765.823,0.64422,0.43292,1.00809,0.9419,0.86759,0.92183,0.67172,0.98458,0.57331,1.19132,4.55e-05,4.55e-05,4.55e-05
148,770.862,0.63917,0.43182,1.00937,0.90198,0.89368,0.92193,0.67108,0.9823,0.57127,1.18703,3.725e-05,3.725e-05,3.725e-05
149,775.835,0.62662,0.42424,1.00436,0.90524,0.89854,0.92375,0.67087,0.98388,0.57153,1.18793,2.9e-05,2.9e-05,2.9e-05
150,780.787,0.64014,0.43788,1.01626,0.90376,0.89365,0.92152,0.67325,0.98483,0.57254,1.18988,2.075e-05,2.075e-05,2.075e-05
